Gioi_tinh,Do_tuoi,Linh_vuc_cong_viec,So_nam_lam_viec,Muc_luong_trung_binh,So_cong_viec_da_lam,Li_do_thay_doi_cong_viec
Nu,23,IT,1.2,18,3,Luong
Nam,25,Marketing,0.7,15,4,Moi truong
Nam,22,IT,1.5,20,2,Co hoi
Nu,24,Finance,0.9,17,3,Luong
Nam,23,IT,1.0,19,2,Co hoi
Nu,29,Marketing,2.5,28,3,Moi truong
Nam,32,IT,3.0,40,2,Luong
Nu,35,Finance,4.0,50,2,Co hoi
Nam,30,IT,2.2,35,3,Moi truong
Nam,42,Finance,7.0,80,3,Luong
Nu,45,Giao duc,10.0,75,2,Moi truong
Nam,24,San xuat,0.5,14,3,Co hoi
Nu,23,IT,1.1,17,2,Luong
Nam,25,Finance,1.3,22,2,Moi truong
Nu,33,Marketing,3.5,45,3,Luong
Nam,31,IT,2.8,38,2,Co hoi
Nam,48,San xuat,12.0,100,2,Moi truong
Nu,22,Giao duc,0.8,12,3,Luong
Nam,24,IT,1.0,16,4,Co hoi
Nu,23,Marketing,1.2,18,2,Moi truong
Nam,30,Finance,2.0,30,4,Luong
Nu,34,IT,3.2,42,3,Moi truong
Nam,41,Giao duc,5.0,60,3,Co hoi
Nu,25,IT,1.5,21,3,Luong
Nam,23,Marketing,0.6,16,3,Moi truong
Nu,26,IT,1.8,24,2,Luong
Nam,28,Finance,2.0,25,3,Co hoi
Nam,31,Marketing,2.6,30,2,Moi truong
Nu,36,Giao duc,4.5,55,2,Co hoi
Nam,44,San xuat,8.0,90,1,Moi truong
Nu,24,IT,1.3,19,3,Luong
Nam,22,Marketing,0.9,17,2,Co hoi
Nu,27,Finance,1.5,23,4,Moi truong
Nam,33,IT,3.1,43,3,Luong
Nu,38,Marketing,5.0,60,2,Co hoi
Nam,47,Finance,10.0,110,2,Moi truong
Nu,25,San xuat,1.0,16,3,Luong
Nam,23,IT,1.2,18,2,Co hoi
Nu,30,Giao duc,2.5,33,3,Moi truong
Nam,35,IT,4.2,52,2,Luong
